Quarter,Company,Total Revenues,Cost of Revenues,Gross Profit,Total Operating Expenses,Operating Income,Net Income,Shares Outstanding,Close Stock Price,Market Cap,Multiple of Revenue
2021Q1,Netflix,7163.282,3868.511,3294.771,1334.915,1959.856,1706.715,455.641,521.6599731,237.6896718,9.006245909
2021Q2,Netflix,7341.777,4018.008,3323.769,1476.139,1847.63,1353.013,455.129,528.210022,240.4036991,8.714971459
2021Q3,Netflix,7483.467,4206.589,3276.878,1521.625,1755.253,1449.071,454.925,610.3400269,277.6589367,9.697175892
2021Q4,Netflix,7709.318,5239.575,2469.743,1837.973,631.77,607.429,455.795,602.44,274.5891398,9.246096781
2022Q1,Netflix,7867.767,4284.705,3583.062,1611.436,1971.626,1597.447,452.984,197.44,89.43716096,2.941786498
2022Q2,Netflix,7970.141,4690.755,3279.386,1701.103,1578.283,1440.951,450.169,174.87,78.72105303,2.536877054
2020Q1,Tesla,5985,4751,1234,951,283,16,994,104.8000031,104.171203,4.003197411
2020Q2,Tesla,6036,4769,1267,940,327,104,1036,215.9620056,223.7366378,8.702996648
2020Q3,Tesla,8771,6708,2063,1254,809,300,1105,429.0100098,474.0560608,16.8248176
2020Q4,Tesla,10744,8678,2066,1491,575,270,1083,705.6699829,764.2405915,24.23391018
2021Q1,Tesla,10389,8174,2215,1621,594,438,1133,667.9299927,756.7646817,21.05633505
2021Q2,Tesla,11958,9074,2884,1572,1312,1142,1119,679.7000122,760.5843137,18.16884797
2021Q3,Tesla,13757,10097,3660,1656,2004,1618,1123,775.4799805,870.8640181,18.58913973
2021Q4,Tesla,17719,12872,4847,2234,2613,2343,1135,1056.78,1199.4453,22.28499526
2022Q1,Tesla,18756,13296,5460,1857,3603,3318,1157,1077.6,1246.7832,20.04796913
2022Q2,Tesla,16934,12700,4234,1564,2670,2259,1155,673.42,777.8001,11.58026531
